file,year,line_no,keyword,context
0209teireikaigijuroku,2020,709,入札,ございますので、県としては一般競争入札ということでそれに基づいてされたようでご
0209teireikaigijuroku,2020,710,入札,ざいますが、過去においては指名競争入札ということで業者を指名していると。そうな
0209teireikaigijuroku,2020,711,入札,ると指名された業者は必ず入札に来るし、現説等でしっかり把握して入札してくるとい
0209teireikaigijuroku,2020,712,入札,うことでございますので、競争原理がもっと働くと、私はそう思うのです。一般競争入札
0209teireikaigijuroku,2020,727,入札,：何点か質問いただきました。まず、指名競争入札がいいのではないか
0209teireikaigijuroku,2020,728,入札,という意見がございました。一般競争入札にしたというのは、指名競争といいますのは
0209teireikaigijuroku,2020,729,入札,村のこの業者にという意識が働きます、そうした中で、一般競争入札というのはより開
0209teireikaigijuroku,2020,734,工事,それと、広告期間につきましては、ひと月程みております。こうした中で、この工事に
0209teireikaigijuroku,2020,746,工事,近になく工事費としては大きい規模の事業費でございます。村といたしましても村民の
0209teireikaigijuroku,2020,756,工事,４０年前から御杖村の公共工事を受注した建設関係の会社は、村本組と松塚組しかない
0209teireikaigijuroku,2020,771,工事,につきましても、今回の工事におきまして特にグランドの水はけにつきましての手入れ
0209teireikaigijuroku,2020,775,工事,と協議をして工事の方を進めてまいりたいと考えております。
0209teireikaigijuroku,2020,783,入札,：私は、この入札に関しましての手順と申しますか、実施執行にあたり
0209teireikaigijuroku,2020,786,入札,なるほど一般競争入札ということで広くこの入札に対して参加する者を募るということ
0209teireikaigijuroku,2020,787,入札,が基本でございます。指名競争入札となれば先ほど村長からも説明がございましたよう
0209teireikaigijuroku,2020,788,入札,に、私は、かえってそれが充分には開かれた入札ではなくなると思っております。それ
0209teireikaigijuroku,2020,793,入札,す。そうゆうことで、この入札に関しましては私はそれぞれの必要なルールに乗っ取っ
0209teireikaigijuroku,2020,807,契約,杖村小中学校統合施設整備工事に伴う工事請負契約の締結については、原案のとおり可
0209teireikaigijuroku,2020,807,工事,杖村小中学校統合施設整備工事に伴う工事請負契約の締結については、原案のとおり可
0209teireikaigijuroku,2020,823,予算,◎議案第２４号令和２年度御杖村一般会計補正予算
0209teireikaigijuroku,2020,823,補正予算,◎議案第２４号令和２年度御杖村一般会計補正予算
0209teireikaigijuroku,2020,829,予算,正予算第６号の議定についてを議題と致します。本案について、提案理由の説明を求め
0209teireikaigijuroku,2020,838,基金,年度からの繰越金が確定し歳入が増額となることに伴い、財政調整基金積立金を約
0209teireikaigijuroku,2020,838,繰越,年度からの繰越金が確定し歳入が増額となることに伴い、財政調整基金積立金を約
0209teireikaigijuroku,2020,846,予算,全員協議会で詳細な説明を受け、予算決算委員会に付託することにしたいと思います。
0209teireikaigijuroku,2020,846,決算,全員協議会で詳細な説明を受け、予算決算委員会に付託することにしたいと思います。
0209teireikaigijuroku,2020,851,予算,度御杖村一般会計補正予算第６号の議定については、予算決算委員会に付託することに
0209teireikaigijuroku,2020,851,補正予算,度御杖村一般会計補正予算第６号の議定については、予算決算委員会に付託することに
0209teireikaigijuroku,2020,851,決算,度御杖村一般会計補正予算第６号の議定については、予算決算委員会に付託することに
0209teireikaigijuroku,2020,856,予算,会計補正予算（第６号）の議定について
0209teireikaigijuroku,2020,856,補正予算,会計補正予算（第６号）の議定について
0209teireikaigijuroku,2020,862,予算,業特別会計補正予算第１号の議定についてを議題と致します。本案について、提案理由
0209teireikaigijuroku,2020,862,補正予算,業特別会計補正予算第１号の議定についてを議題と致します。本案について、提案理由
0209teireikaigijuroku,2020,870,基金,度からの繰越金が確定したことに伴い、見合いの支出として基金積立を行うものござ
0209teireikaigijuroku,2020,870,繰越,度からの繰越金が確定したことに伴い、見合いの支出として基金積立を行うものござ
