Date,Meeting,Agenda,Department,Yen_Amount,Type,Speaker,Nakashima_Role,Notes,Source_File,Page
2020,0209teireikaigijuroku,◎承認第１０号専決処分の承認を求めることについて,,,"予算,決算,補正予算",議長(山岡隆良君),,先ず、日程第１承認第１０号専決処分の承認を求めることについて、 令和２年度御杖村一般会計補正予算第５号を議題とします。本案件につきましては、予 算決算委員会へ付託した案件でございます。御杖村会議規則第４１条第１項の規定に基 づき、委員長から審査経過及び結果の報告をお願いします。松岡委員長。,0209teireikaigijuroku,31
2020,0209teireikaigijuroku,◎承認第１０号専決処分の承認を求めることについて,,,"予算,決算,補正予算",予算決算委員会委員長(松岡一生君),,予算決算委員会を代表しまして、当委員会に付 託されました、承認第１０号につきまして、その審査の経過と結果についてご報告 いたします。まず、審査の経緯でございますが、去る９月３日の本会議におきまし て、専決補正予算１件及び補正予算５件、決算認定５件の合計１１件の案件が付託 されたことにより、９月１０日に委員会を開催いたしました。 当日は、全委員及び村長をはじめ各部局の所属長出席のもと審査を行いました,0209teireikaigijuroku,31
2020,0209teireikaigijuroku,◎第２２号議案御杖村過疎地域自立促進計画の変更について,,,"予算,補正予算",議長(山岡隆良君),,質疑なしと認めます。これで質疑を終わります。これより討論を行 います。討論はありませんか。 （「討論なし」の声あり） ○議長（山岡隆良君） ：討論なしと認めます。これで討論を終わります。これより、本案につ いて採決を行います。本案に対する委員長の報告は、可決です。日程第１承認第１０号 －３２－ は、委員長の報告のとおり決定することに賛成の方は、起立願います。 （全員／起立） ○議長（山岡隆良君） ,0209teireikaigijuroku,32
2020,0209teireikaigijuroku,◎第２２号議案御杖村過疎地域自立促進計画の変更について,Water/Sewer,,"予算,補正予算",議長(山岡隆良君),,ありがとうございます。全員の起立により、日程第２議案第２２号御 杖村過疎地域自立促進計画の変更については、委員長の報告のとおり可決されました。    －３３－ ◎一括議題［委員長報告・質疑］ ・議案第２４号令和２年度御杖村一般会計補正予算(第６号)の 議定について ・議案第２５号令和２年度御杖村簡易水道事業特別会計 補正予算（第１号）の議定について ・議案第２６号令和２年度御杖村国民健康保険特別会,0209teireikaigijuroku,33
2020,0209teireikaigijuroku,◎第２２号議案御杖村過疎地域自立促進計画の変更について,Water/Sewer,,"予算,補正予算",議長(山岡隆良君),,次に、日程第３議案２４号令和２年度御杖村一般会計補正予算第６ 号の議定について、日程第４議案第２５号令和２年度御杖村簡易水道事業特別会計補正 予算第１号の議定について、日程第５議案第２６号令和２年度御杖村国民健康保険特別 会計補正予算第３号の議定について、日程第６議案第２７号令和２年度御杖村介護保険 特別会計補正予算第２号の議定について、日程第７議案第２８号令和２年度御杖村後期 高齢者医療特別会計,0209teireikaigijuroku,33
2020,0209teireikaigijuroku,◎第２２号議案御杖村過疎地域自立促進計画の変更について,,,"予算,決算,補正予算",予算決算委員会委員長(松岡一生君),,それでは、日程第３議案第２４号から日程第 7 議案第２８号の補正予算５件につきまして、一括して、その審査結果について報告 をさせていただきます。審査の経緯につきましては、先に報告させていただきまし たとおりでございます。審査の経過でございますが、各会計ごとに質疑及び討論と 採決を行いました。質疑では、委員より質疑が行われ、村当局より答弁をいただき ましたが、内容については全議員出席の委員会ですので,0209teireikaigijuroku,33
2020,0209teireikaigijuroku,◎議案第２４号令和２年度御杖村一般会計補正予算(第６号),,,"予算,補正予算",議長(山岡隆良君),,質疑なしと認めます。これで質疑を終わります。続いて議案ごとに、 討論及び採決を行います。   －３４－ ◎議案第２４号令和２年度御杖村一般会計補正予算(第６号) の議定について ［討論、採決］ ,0209teireikaigijuroku,34
2020,0209teireikaigijuroku,◎議案第２５号令和２年度御杖村簡易水道事業特別会計,Water/Sewer,,"予算,補正予算",議長(山岡隆良君),,先ず、日程第３議案第２４号令和２年度御杖村一般会計補正予算第 ６号の議定についてを議題とし、討論を行います。討論はありませんか。 （「討論なし」の声あり） ○議長（山岡隆良君） ：討論なしと認めます。これで討論を終わります。これより、本案につ いて採決を行います。本案に対する委員長の報告は、可決です。日程第３議案第２４号 は、委員長の報告のとおり決定することに賛成の方は、起立願います。 （全員／起,0209teireikaigijuroku,34
2020,0209teireikaigijuroku,◎議案第２６号令和２年度御杖村国民健康保険特別会計,Water/Sewer,,"予算,補正予算",議長(山岡隆良君),,次に、日程第４議案第２５号令和２年度御杖村簡易水道事業特別会 計補正予算第１号の議定についてを議題とし、討論を行います。討論はありませんか。 （「討論なし」の声あり） ○議長（山岡隆良君） ：討論なしと認めます。これで討論を終わります。これより、本案につ いて採決を行います。本案に対する委員長の報告は、可決です。日程第４議案第２５号 は、委員長の報告のとおり決定することに賛成の方は、起立願います。,0209teireikaigijuroku,34
2020,0209teireikaigijuroku,◎議案第２７号令和２年度御杖村介護保険特別会計補正,,,"予算,補正予算",議長(山岡隆良君),,次に、日程第５議案第２６号令和２年度御杖村国民健康保険特別会 計補正予算第３号の議定についてを議題とし、討論を行います。討論はありませんか。 （「討論なし」の声あり） ○議長（山岡隆良君） ：討論なしと認めます。これで討論を終わります。これより、本案につ いて採決を行います。本案に対する委員長の報告は、可決です。日程第５議案第２６号 は、委員長の報告のとおり決定することに賛成の方は、起立願います。,0209teireikaigijuroku,35
